[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？ （燧石余火） 过场动画
[绘夏！烈日？度假村！其三「惊遇！等待众人的将是…？」] 过场动画绘夏！烈日？度假村！其三 惊遇！等待众人的将是···？  （热舞狂欢） 过场动画
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 获得娜娜丝梨饼
[绘夏！烈日？度假村！其四「收幕！将夏夜染作缤纷！」] 和朋友们共度了一段愉快的时光…
[睡莲之章 第一幕：致智慧者] 旅行者 : 辛苦你了，派蒙。
[睡莲之章 第一幕：致智慧者] 派蒙 : 嗯…等会儿我一定要加倍吃回来。
[睡莲之章 第一幕：致智慧者] 法哈德 : 那我先走了，你们忙。
[睡莲之章 第一幕：致智慧者] 妮露 : 再见啦。
[睡莲之章 第一幕：致智慧者] 妮露 : 幸好有他帮忙，不然就要多花很多力气了。
[睡莲之章 第一幕：致智慧者] 旅行者 : 这里的气氛真好啊。/大家一直都这么热情？
[睡莲之章 第一幕：致智慧者] 妮露 : 对啊，因为大家都是聚在这里做生意的嘛。
[睡莲之章 第一幕：致智慧者] 妮露 : 我们相互之间，就像是邻居吧。比起赚钱，互帮互助的感觉更多。
[睡莲之章 第一幕：致智慧者] 派蒙 : 一直送这么多东西的话，生活都不用愁了…
[睡莲之章 第一幕：致智慧者] 妮露 : 嘿嘿，一开始也弄得我很不好意思，总觉得欠了别人的人情，要想方设法还回去。
[睡莲之章 第一幕：致智慧者] 妮露 : 但后来，就像阿夫辛先生说的，我拿走东西，其实是在帮他的忙，帮他省钱。
[睡莲之章 第一幕：致智慧者] 妮露 : 买错的货物，囤多的食物，这些东西送出去才能发挥最大的价值。
[睡莲之章 第一幕：致智慧者] 妮露 : 所以这都不要紧，只要在他们需要帮忙的时候，尽全力帮忙就好了。
[睡莲之章 第一幕：致智慧者] 派蒙 : 原来是这样，还挺有道理。
[睡莲之章 第一幕：致智慧者] 妮露 : 现在这都成了我们这群人的习惯，没人会计较这些往来上的细节。
[睡莲之章 第一幕：致智慧者] 妮露 : 所以你们也不用放在心上。
[睡莲之章 第一幕：致智慧者] 妮露 : 好了，我要把这些东西拿去给祖拜尔先生，顺便做一些准备。
[睡莲之章 第一幕：致智慧者] 妮露 : 你们可以在剧场里打发打发时间，认识一下生活在这里的朋友也不错。
[睡莲之章 第一幕：致智慧者] 旅行者 : 不需要帮忙吗？
[睡莲之章 第一幕：致智慧者] 妮露 : 放心，祖拜尔先生很厉害的。
[睡莲之章 第一幕：致智慧者] 妮露 : 你们是客人，就好好期待庆祝活动吧。
[睡莲之章 第一幕：致智慧者] 和剧场的人随便聊聊
[睡莲之章 第一幕：致智慧者] 派蒙 : 感觉这里的气氛真的很不错...
[睡莲之章 第一幕：致智慧者] 派蒙 : 我们也偶尔放松一下，融入到这个环境里去吧。
[睡莲之章 第一幕：致智慧者] 派蒙 : 嗨，你好。
[睡莲之章 第一幕：致智慧者] 加萨尼 : 嗯…哦，新来的啊。
[睡莲之章 第一幕：致智慧者] 加萨尼 : 看起来不太聪明。
[睡莲之章 第一幕：致智慧者] 派蒙 : 喂，你怎么一上来就这样！
[睡莲之章 第一幕：致智慧者] 加萨尼 : 你倒是，嗯，不寻常。
[睡莲之章 第一幕：致智慧者] 加萨尼 : 你觉得艺术是什么？
[睡莲之章 第一幕：致智慧者] 旅行者 : 艺术？/突然问这个？
[睡莲之章 第一幕：致智慧者] 加萨尼 : 好奇而已，想不想回答都无所谓。
[睡莲之章 第一幕：致智慧者] 旅行者 : 大概是意念的具象化？/大概是心中美感的表达？
[睡莲之章 第一幕：致智慧者] 加萨尼 : 你是这么想的啊…
[睡莲之章 第一幕：致智慧者] 加萨尼 : 没什么好评价的，比一般人的想法好一些，不过也差不多。
[睡莲之章 第一幕：致智慧者] 加萨尼 : 艺术，究竟是一种创造而生的加工品呢？还是一种天然便存在的资源呢？
[睡莲之章 第一幕：致智慧者] 加萨尼 : 至少我觉得，肯定是后者。
[睡莲之章 第一幕：致智慧者] 派蒙 : 没太听懂…
[睡莲之章 第一幕：致智慧者] 加萨尼 : 我已经待在这里很久了，有时候帮他们写一点台词，但更多的时候就只是看看，什么也不做。
[睡莲之章 第一幕：致智慧者] 加萨尼 : 不如说是不需要我做，我做了就失去看的意义了。
[睡莲之章 第一幕：致智慧者] 加萨尼 : 剧场的存在，妮露的存在，人的存在，都可以说是艺术，它不是远在天边的东西。
[睡莲之章 第一幕：致智慧者] 派蒙 : 这和我们有关系吗？
[睡莲之章 第一幕：致智慧者] 加萨尼 : 那我这么问吧，你们觉得艺术的意义是什么？
[睡莲之章 第一幕：致智慧者] 旅行者 : 不知道。/为了回答你的问题？
[睡莲之章 第一幕：致智慧者] 加萨尼 : 呵呵，有点难为你们了。
[睡莲之章 第一幕：致智慧者] 加萨尼 : 我只是在等待灵感，我一直在关注你们，舞台上和舞台下的人。
[睡莲之章 第一幕：致智慧者] 加萨尼 : 艺术就在这里。
[睡莲之章 第一幕：致智慧者] 加萨尼 : 美妙绝伦，独一无二…
[睡莲之章 第一幕：致智慧者] 加萨尼 : 甚至称得上是须弥的宝藏。
[睡莲之章 第一幕：致智慧者] 和剧场的人随便聊聊
[睡莲之章 第一幕：致智慧者] 派蒙 : 你好。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 唔…哇？！
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 你们是谁？舞台不可以随便上来。
[睡莲之章 第一幕：致智慧者] 旅行者 : 别紧张。/我们和妮露一起来的。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 这样啊…抱歉，我反应有点大了。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 我在，那个，做道具，没时间聊天。
[睡莲之章 第一幕：致智慧者] 派蒙 : 那个是刺绣吗？
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 不是…是，但又不是，这是道具。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 是一种布，演出要用，总归就是普通的布…
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 对不起，我真的要开始做道具了，我需要集中精神。
[睡莲之章 第一幕：致智慧者] 旅行者 : 不好意思。/不打扰你了。
[睡莲之章 第一幕：致智慧者] 派蒙 : 好奇怪的人，为什么做道具也要支支吾吾的。
[睡莲之章 第一幕：致智慧者] 派蒙 : 算了，不管她。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 抱歉，我需要集中精神。
[睡莲之章 第一幕：致智慧者] 和剧场的人随便聊聊
[睡莲之章 第一幕：致智慧者] 里卡尔 : 你们好，我看到你们帮妮露搬东西了。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 你们也是来参加活动的对吧？
[睡莲之章 第一幕：致智慧者] 派蒙 : 嗯，没错。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 我叫里卡尔，和内嘉一样，是这里的道具工程师，我还会干一些清扫之类的杂务。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 剧场上正在打闹的是我的孩子，索林和艾贝，希望没有吵到你们。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 每到庆祝的时候，他们都会这么兴奋。
[睡莲之章 第一幕：致智慧者] 旅行者 : 都挺可爱的。/都很有活力。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 嗯，这里的人都很关照我们。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 有工作可以做，也不会拖欠工资，妮露他们还会经常和孩子们一起玩。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 对现在的我来说，已经很满足了。
[睡莲之章 第一幕：致智慧者] 派蒙 : 听起来，像是以前发生了什么？
[睡莲之章 第一幕：致智慧者] 旅行者 : 派蒙…
[睡莲之章 第一幕：致智慧者] 里卡尔 : 没关系的，都是过去的事了。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 我和我的丈夫以前都是冒险家，结果后来出了事故，他就不在了。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 物质上的艰难总能克服，只是从今以后，我就只能为了生活而生活…
[睡莲之章 第一幕：致智慧者] 里卡尔 : 不过运气还算不错，祖拜尔先生帮助了我，这个地方的氛围也很好，既温和，又包容。
[睡莲之章 第一幕：致智慧者] 派蒙 : 对不起，让你回忆起伤心的事了。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 不用在意，我已经没那么在乎了。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 活动开始之后，你们一定能感受到我所说的那种气氛。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 距离活动开始还有一会儿，你们可以随意逛逛。
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 索林 : 我刚刚看见妮露姐姐拿了米圆塔回来，今晚有米圆塔吃了！
[睡莲之章 第一幕：致智慧者] 艾贝 : 你没看错吧？
[睡莲之章 第一幕：致智慧者] 索林 : 当然不会，就算看错，我闻也不会闻错，就是那个味道。
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 内嘉 : 道具清点告一段落，等会儿和里卡尔商量一下日期。
[睡莲之章 第一幕：致智慧者] 内嘉 : 哦，对了，今晚法哈德要来…我是不是应该把关键道具先藏起来？
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 库洛什 : 终于结束了，不用挨骂了！
[睡莲之章 第一幕：致智慧者] 库洛什 : 哦，抱歉，我只是松了一口气…请别告诉祖拜尔先生。
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 与妮露交谈，等待活动开始
[睡莲之章 第一幕：致智慧者] 妮露 : 你们久等了，庆祝活动的准备已经完成。
[睡莲之章 第一幕：致智慧者] 妮露 : 等我通知大家聚到一起，我们就可以开始了。
[睡莲之章 第一幕：致智慧者] 派蒙 : 那我们也来帮忙！
[睡莲之章 第一幕：致智慧者] 妮露 : 嘿嘿，谢谢啦。
[睡莲之章 第一幕：致智慧者] 众人聚到一起，庆祝活动终于开始，大家准备交换礼物。
[睡莲之章 第一幕：致智慧者] 派蒙 : 说不定我们真的应该准备点礼物，这样我们也能有抽奖的资格。
[睡莲之章 第一幕：致智慧者] 派蒙 : 不然就只能像现在这样看着…
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 要不然，还是算了吧。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 做得也不算太满意，不知道谁会喜欢。
[睡莲之章 第一幕：致智慧者] 妮露 : 别这么想，之前我们不就说好了吗？要给大家一个惊喜。
[睡莲之章 第一幕：致智慧者] 妮露 : 你从来都不参加这样的庆祝活动，这次就是个好机会，大家一定会很欢迎你。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 我还是有点不适应…
[睡莲之章 第一幕：致智慧者] 妮露 : 真的不用担心。总之先给自己一个机会，往前迈一步。
[睡莲之章 第一幕：致智慧者] 妮露 : 这里也没有会让你害怕的人，对吧？
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 嗯…
[睡莲之章 第一幕：致智慧者] 妮露 : 哎，那只好我来推你一把。
[睡莲之章 第一幕：致智慧者] 妮露 : 各位，注意看这里。阿娜耶有一件很好的事情要告诉大家。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 等、等等…！
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 我都说了我还没做好准备，这种时候我要说什么…
[睡莲之章 第一幕：致智慧者] 妮露 : 慢慢来，不要紧张。先深呼吸，然后把想要做的事心平气和地告诉大家。
[睡莲之章 第一幕：致智慧者] 妮露 : 不说的话，我们这段时间辛辛苦苦练习的刺绣，可就要浪费了。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 可是，用来当礼物合适吗？做得真的不好…
[睡莲之章 第一幕：致智慧者] 派蒙 : 看样子，刚刚说自己在做道具的阿娜耶，其实是在准备今天的礼物啊。
[睡莲之章 第一幕：致智慧者] 旅行者 : 她很紧张。/她很不善于表达。
[睡莲之章 第一幕：致智慧者] 派蒙 : 嗯，感觉她好像还没有融入到这个环境里来。
[睡莲之章 第一幕：致智慧者] 派蒙 : 妮露是打算帮她一把？
[睡莲之章 第一幕：致智慧者] 妮露 : 其实，在开始我们的活动之前，阿娜耶准备了特别的礼物，打算送给大家。
[睡莲之章 第一幕：致智慧者] 索林 : 好耶！
[睡莲之章 第一幕：致智慧者] 艾贝 : 阿娜耶姐姐的礼物？！这可是第一次啊！
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 别吵，你们吵起来她就更紧张了。
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 准备了很久了吧。那就自信一点，别畏手畏脚的。
[睡莲之章 第一幕：致智慧者] 派蒙 : 加油哦！
[睡莲之章 第一幕：致智慧者] 阿娜耶 : ……
[睡莲之章 第一幕：致智慧者] 舍利夫 : 祖拜尔先生在吗？
[睡莲之章 第一幕：致智慧者] 舍利夫 : 谢赫祖拜尔，来自教令院的紧急通知。庆祝活动什么的，赶快消停一下。
[睡莲之章 第一幕：致智慧者] 派蒙 : 来势汹汹的样子，这个人搞什么啊？
[睡莲之章 第一幕：致智慧者] 众人跟随谢赫祖拜尔来到剧场下方。
[睡莲之章 第一幕：致智慧者] 舍利夫 : 由于「祖拜尔剧场」长期违逆教令院的相关命令，我们决定要拆除这座剧场。
[睡莲之章 第一幕：致智慧者] 舍利夫 : 你作为这里的负责人，需要在三十天内停业并遣散人员，随后前往教令院接受处罚。
[睡莲之章 第一幕：致智慧者] 妮露 : 为什么…怎么会这么突然？
[睡莲之章 第一幕：致智慧者] 舍利夫 : 不是第一次来警告你了，小姑娘。
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 之前我去问询的时候，可没有听说拆除的说法，现在突然就限期三十天。
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 我们还有之后的演出计划，三十天的时间，什么都干不了，我怎么给客人和工作人员交代？
[睡莲之章 第一幕：致智慧者] 舍利夫 : 这就不是我需要考虑的问题了，祖拜尔先生。
[睡莲之章 第一幕：致智慧者] 舍利夫 : 既然你考虑得这么清楚，那你应该反思为什么没能提前做好准备。
[睡莲之章 第一幕：致智慧者] 派蒙 : 拆除？为什么要拆除这里？
[睡莲之章 第一幕：致智慧者] 妮露 : 教令院对我们的印象一直都不好，而且他们本来就看不上我们的演出，觉得只是浪费时间。
[睡莲之章 第一幕：致智慧者] 妮露 : 他们不止一次找上门来，要求我们改进表演质量，演出更加有「智慧」的剧目。
[睡莲之章 第一幕：致智慧者] 妮露 : 但我们的看客不是教令院的人，而是大巴扎的各位朋友。
[睡莲之章 第一幕：致智慧者] 妮露 : 要是演的东西晦涩难懂，或者脱离了生活，那就不会有人来看了…
[睡莲之章 第一幕：致智慧者] 妮露 : 这既会断了我们的生路，也绝非我们的初衷。
[睡莲之章 第一幕：致智慧者] 旅行者 : 剧场真的被拆除的话…/会有很多人无家可归。
[睡莲之章 第一幕：致智慧者] 妮露 : 嗯，剧场对我们每个人都很重要。
[睡莲之章 第一幕：致智慧者] 派蒙 : 他们现在的做法，根本就不合理！
[睡莲之章 第一幕：致智慧者] 妮露 : 但…我也不知道要怎么样才能阻止他们。
[睡莲之章 第一幕：致智慧者] 舍利夫 : 我不想再从头解释一次，既然时间紧迫，就更应该赶紧照做，而不是问东问西。
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 可是我们都不打算接受，你们突然通知这件事，不符合制度规范。
[睡莲之章 第一幕：致智慧者] 舍利夫 : 你去问谁都是一样的，我们已经充分告知过了。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 够了。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 找麻烦也得有个限度吧，父亲！
[睡莲之章 第一幕：致智慧者] 派蒙 : 父亲？欸？她和这个人，居然是父女？
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 说什么教令院，只是因为你自己不喜欢这个地方，所以一直借用教令院的权力威胁我们！
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 我告诉你，就算你拆掉了这个地方，也什么都改变不了。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 你一直以来都很过分，但我没想到，我的父亲会卑鄙到这种程度！
[睡莲之章 第一幕：致智慧者] 舍利夫 : 我只是公事公办，和你在哪里，做什么，完全没关系。
[睡莲之章 第一幕：致智慧者] 舍利夫 : 和你怎么想也没关系。
[睡莲之章 第一幕：致智慧者] 舍利夫 : 希望你们还没有笨到无药可救，我不会再费口舌了。
[睡莲之章 第一幕：致智慧者] 舍利夫 : 赶紧收拾收拾，去做歇业准备。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : ……
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 啊啊啊，真是的，他怎么总是这样！
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 挺扫兴的，不过也没办法。
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 今天就这样吧，大家收拾一下。
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 明天我再去找他们谈一谈，唉，这种无妄之灾，往往最难处理。
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 越来越不讲道理了，哼。
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 必须要想想办法才行。
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 索林 : 这里要拆掉了吗？
[睡莲之章 第一幕：致智慧者] 艾贝 : 我不要，我不要…
[睡莲之章 第一幕：致智慧者] 里卡尔 : 别哭，别哭，那叔叔只是来吓唬我们的。
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 库洛什 : 有话就不能好好说吗？总还是有商量的余地吧。
[睡莲之章 第一幕：致智慧者] 内嘉 : 要是真的有，就不会搞成这副样子了。
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 加萨尼 : 夏日总会过去，寒冬即将到来。
[睡莲之章 第一幕：致智慧者] 加萨尼 : 人比季节更善变啊。
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 对不起，我父亲总是那个样子。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 可恶…
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 法哈德 : 这也太突然了。接下来会怎么样啊？
[睡莲之章 第一幕：致智慧者] 胡尚 : 我也不知道，他们现在应该也很混乱吧。
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 和妮露讨论现状
[睡莲之章 第一幕：致智慧者] 妮露 : 抱歉，邀请你们来参加活动，本来是很开心的，没想到会发生这种事。
[睡莲之章 第一幕：致智慧者] 派蒙 : 妮露不用道歉啦，谁都想不到。唉，只是没吃到好吃的，有点可惜…
[睡莲之章 第一幕：致智慧者] 派蒙 : 听那个人的说法，教令院已经警告过很多次了？
[睡莲之章 第一幕：致智慧者] 妮露 : 嗯，算是吧，因为在他们的眼里我们始终太「肤浅」。
[睡莲之章 第一幕：致智慧者] 妮露 : 在须弥这个地方，「智慧」是非常崇高的东西，而在他们所追求的「智慧」里，并没有艺术的位置。
[睡莲之章 第一幕：致智慧者] 妮露 : 但仅仅是因为这一点的话，不至于非要拆除整个剧场不可。
[睡莲之章 第一幕：致智慧者] 旅行者 : 果然和阿娜耶有关系吧。
[睡莲之章 第一幕：致智慧者] 妮露 : 阿娜耶离家出走之后，我把她带到了「祖拜尔剧场」。
[睡莲之章 第一幕：致智慧者] 妮露 : 她很少提起家里的事，我只知道她好像和家里人有矛盾。
[睡莲之章 第一幕：致智慧者] 妮露 : 没想到，会以这样的形式彻底爆发…
[睡莲之章 第一幕：致智慧者] 派蒙 : 既然你们没有做错事，我们也没有必要听教令院的啊。
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 旅行者 : 我可以让纳西妲来帮忙。
[睡莲之章 第一幕：致智慧者] 妮露 : 纳西妲…欸？小吉祥草王？！
[睡莲之章 第一幕：致智慧者] 派蒙 : 知道了这件事，她应该会帮忙的，教令院的人再厉害，也不敢对小吉祥草王说「不」吧。
[睡莲之章 第一幕：致智慧者] 妮露 : 不是不是，我没有在怀疑她的力量…只是我觉得太夸张了，这种小事不应该给小吉祥草王添麻烦。
[睡莲之章 第一幕：致智慧者] 妮露 : 如果借用了神明的帮助，怎么说呢…就感觉好像我们也变得名不正言不顺了。
[睡莲之章 第一幕：致智慧者] 派蒙 : 也对…
[睡莲之章 第一幕：致智慧者] --------------
[睡莲之章 第一幕：致智慧者] 派蒙 : 干脆直接硬碰硬吧，不怕他们！
[睡莲之章 第一幕：致智慧者] 旅行者 : 解决不了根源问题。/我们总会离开的。
[睡莲之章 第一幕：致智慧者] 派蒙 : 对哦…
[睡莲之章 第一幕：致智慧者] 妮露 : 我也来想办法，不然大家就会一直担惊受怕。
[睡莲之章 第一幕：致智慧者] 妮露 : 怎么办，怎么办…
[睡莲之章 第一幕：致智慧者] 派蒙 : 明面上停演，然后悄悄地在别的地方演出？
[睡莲之章 第一幕：致智慧者] 派蒙 : 或者在客人里面找一找，有没有愿意帮忙的人…好像都不行。
[睡莲之章 第一幕：致智慧者] 旅行者 : 我想起来…/有个学者提起过，「辩论」。
[睡莲之章 第一幕：致智慧者] 妮露 : 辩论？嗯，学者确实喜欢用这种方法去讨论问题，但…要怎么做？
[睡莲之章 第一幕：致智慧者] 旅行者 : 如果能证明…/剧场的存在拥有价值。
[睡莲之章 第一幕：致智慧者] 派蒙 : 对啊，如果能向阿娜耶的父亲证明，教令院的观点都是不成立的，那就没有能拆除剧场的理由了！
[睡莲之章 第一幕：致智慧者] 妮露 : 原来是这样，用辩论战胜他…
[睡莲之章 第一幕：致智慧者] 妮露 : 好主意，但是我们这些人，有谁能辩得过学者呢…
[睡莲之章 第一幕：致智慧者] 妮露 : 欸？我吗？
[睡莲之章 第一幕：致智慧者] 妮露 : 不行不行不行，我最不擅长吵架了。
[睡莲之章 第一幕：致智慧者] 妮露 : 我不行的，辩论…
[睡莲之章 第一幕：致智慧者] 旅行者 : 辩论不是吵架。/是为了证明你是正确的。
[睡莲之章 第一幕：致智慧者] 派蒙 : 你现在这么烦恼，就说明你真的想要保护这个地方。
[睡莲之章 第一幕：致智慧者] 妮露 : 我…
[睡莲之章 第一幕：致智慧者] 妮露 : 剧场对我，还有这里的每个人，都有无可替代的意义。
[睡莲之章 第一幕：致智慧者] 妮露 : 只是，我真的能承担这么重的责任吗？
[睡莲之章 第一幕：致智慧者] 旅行者 : 做好准备就没问题。/我会帮你的。
[睡莲之章 第一幕：致智慧者] 派蒙 : 派蒙也会帮你，只要做好准备，你肯定会更有信心，要相信自己！
[睡莲之章 第一幕：致智慧者] 妮露 : 谢谢你们。
[睡莲之章 第一幕：致智慧者] 妮露 : 好，我决定了！
[睡莲之章 第一幕：致智慧者] 妮露 : 虽然我可能做得不好，但是为了大家，我会竭尽全力！
[睡莲之章 第一幕：致智慧者] 派蒙 : 太好了，加油！
[睡莲之章 第一幕：致智慧者] 妮露 : 那我们现在回去，把想法说给大家听听吧。
[睡莲之章 第一幕：致智慧者] 召集众人，整理情况
[睡莲之章 第一幕：致智慧者] 众人被召集到一起，听了妮露的想法之后…
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 想要用辩论的方式战胜教令院的人，和以卵击石没有区别。
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 但如果你们想要试试看，我不会阻止，眼下的情况不会变得更糟了。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 没必要太悲观吧。在舍利夫的眼里，妮露的做法会显得很天真，但天真本来就是他们最缺少的东西。
[睡莲之章 第一幕：致智慧者] 里卡尔 : 说不定能起到意想不到的效果呢？
[睡莲之章 第一幕：致智慧者] 加萨尼 : 我支持，听上去很浪漫，戏剧里以弱胜强的故事永远不会缺席。
[睡莲之章 第一幕：致智慧者] 库洛什 : 那也只是戏剧啊，不太可能出现在现实之中吧…
[睡莲之章 第一幕：致智慧者] 库洛什 : 啊，我没有不支持妮露的意思，需要我帮忙的话，尽管开口。
[睡莲之章 第一幕：致智慧者] 库洛什 : 这总比什么都不干，眼睁睁看着剧场被拆掉要好。
[睡莲之章 第一幕：致智慧者] 内嘉 : 我也会出一份力，要让教令院的人看到我们的斗志。
[睡莲之章 第一幕：致智慧者] 妮露 : 谢谢你们。有你们的支持，我也觉得心安了很多。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 我不愿意泼冷水，但是，我父亲并不是一个好对付的人。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 他知识渊博，逻辑严密，而且非常严苛，想要在辩论上赢过他，我觉得非常困难。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 这种事你们应该都明白，只是不想打击妮露的积极性吧？
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 到头来，这不是在伤害她吗？
[睡莲之章 第一幕：致智慧者] 谢赫祖拜尔 : 别这样，阿娜耶。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : ……
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 抱歉，我破坏气氛了。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 我只是没办法强迫自己，去期待这件事有一个好的结果，也不想见到妮露为了不可能的事去努力。
[睡莲之章 第一幕：致智慧者] 旅行者 : 这世上没有不可能的事。/要先努力才会有成果。
[睡莲之章 第一幕：致智慧者] 派蒙 : 对啊，怎么能现在就说丧气话。
[睡莲之章 第一幕：致智慧者] 妮露 : 你说得很对，阿娜耶。
[睡莲之章 第一幕：致智慧者] 妮露 : 我们的对手是教令院，谁都知道他们很强大，或许不抱期望才是正常的。
[睡莲之章 第一幕：致智慧者] 妮露 : 但我还是想试试看，如果就这样和「祖拜尔剧场」告别，我会非常不甘心。
[睡莲之章 第一幕：致智慧者] 妮露 : 我相信不只是我，其他人也都会这么想。既然不甘心，就应该把声音汇聚到一起，好好说出来。
[睡莲之章 第一幕：致智慧者] 妮露 : 该说的都说了，该做的都做了之后，就算没有得到想要的结果，也不会给未来留下遗憾。
[睡莲之章 第一幕：致智慧者] 妮露 : 因为，我们能掌握的，只有此时此刻的「选择」嘛。
[睡莲之章 第一幕：致智慧者] 阿娜耶 : …这个我明白。不甘心，还有愤怒，对我来说都很强烈。
[睡莲之章 第一幕：致智慧者] 妮露 : 那么，能麻烦你把我们想要辩论的这件事，告诉你的父亲吗？
[睡莲之章 第一幕：致智慧者] 妮露 : 你应该还是有联系到家人的办法吧？
[睡莲之章 第一幕：致智慧者] 阿娜耶 : 嗯，是的。
[睡莲之章 第一幕：致智慧者] 妮露 : 那就拜托你了。我从来都没有进行过辩论，其实直到现在我也没有充足的信心。
[睡莲之章 第一幕：致智慧者] 妮露 : 但既然决定要辩论，我就会好好做准备，收集每个人想说的话，到时候一鼓作气全都说出来。
[睡莲之章 第一幕：致智慧者] 妮露 : 我一个人的知识肯定赢不了你的父亲，但把整个剧场的人加起来，就不一定了，对吧？
[睡莲之章 第一幕：致智慧者] 阿娜耶 : …嗯。
[睡莲之章 第一幕：致智慧者] 索林 : 说得没错，妮露姐姐！
[睡莲之章 第一幕：致智慧者] 艾贝 : 打败坏人，正义必胜！
[睡莲之章 第一幕：致智慧者] 索林 : 让他吃点苦头！
[睡莲之章 第一幕：致智慧者] 妮露 : 嘿嘿，你们两个，不是要去打架啦。
[睡莲之章 第一幕：致智慧者] 妮露 : 不过，你们的鼓励我也收到了，我会好好加油的。
[睡莲之章 第一幕：致智慧者] 收集剧场成员的想法
[睡莲之章 第一幕：致智慧者] 派蒙 : 说得很好嘛，妮露！
[睡莲之章 第一幕：致智慧者] 妮露 : 感觉有点夸下海口了...
[睡莲之章 第一幕：致智慧者] 妮露 : 我们还是赶紧做准备吧，首先要了解剧场其他人对这件事的想法。
